Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
875,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway—umm, what is this book about?",Rachel,neutral,85,4,5,9,"00:06:18,503","00:06:25,550"
909,There’s nothing to handle.,Rachel,joy,89,7,4,20,"0:09:47,097","0:09:48,219"
917,"And somewhere along the way, one of them is gonna realise what they’ve done and they’re call the whole thing off.",Rachel,neutral,89,15,4,20,"00:10:03,811","00:10:08,148"
920,"What, did you actually thought it would make me feel better to give me stuff that I can’t use for another two months?!",Phoebe,anger,91,0,4,20,"00:06:56,249","00:07:02,087"
929,Oh no! No!! My hole!!,Joey,surprise,93,5,4,1,"00:09:26,440","00:09:28,525"
942,Say more things like that.,Rachel,joy,94,10,4,9,"00:12:10,229","00:12:12,731"
946,And an assistant.,Rachel,neutral,94,14,4,9,"0:12:20,448","0:12:21,491"
955,What are you talking about?!,Rachel,surprise,95,7,5,3,"00:04:23,638","00:04:25,097"
961,Harder than it sounds. Isn't it?,Monica,neutral,95,13,5,3,"0:04:44,579","0:04:45,331"
970,Thank you.,Monica,neutral,96,4,1,17,"0:14:09,942","0:14:10,778"
971,Okay. Let’s bring it in.,Monica,neutral,97,0,3,9,"00:04:23,888","00:04:25,514"
983,"Technically we could have sex again. What do you think, bossy and domineering?!",Chandler,neutral,99,6,7,19,"00:05:38,379","00:05:46,136"
985,That’s me! Come on!,Chandler,joy,99,8,7,19,"00:05:49,140","00:05:50,474"
996,"Th-th-that's all it is, a third nipple.",Ross,neutral,100,0,3,23,"00:05:30,246","00:05:32,122"
1003,Just showing you my run-of-the-mill-slice-it-right-off third nipple.,Ross,neutral,100,5,3,23,"00:05:48,181","00:05:52,726"
1008,"Wait a minute, hold it.  Johnson! Will you come in here a moment?",Dr. Rhodes,neutral,102,0,3,23,"00:06:01,152","00:06:08,116"
1010,"He's good with rear things, bring him in too.",Dr. Rhodes,neutral,102,2,3,23,"00:06:08,284","00:06:10,619"
1024,"Um uh…We’re-we’re just having this baby together but uh, uh that’s all.",Ross,neutral,106,0,8,23,"00:21:18,432","00:21:22,894"
1038,Dear Ms. Buffay.,Phoebe,neutral,107,7,1,3,"0:08:10,072","0:08:11,414"
1040,We have credited your account with five hundred dollars.,Phoebe,neutral,107,9,1,3,"0:08:10,072","0:08:16,287"
1060,I mean you’d think he’d be worried about me not showing up at his club.,Rachel,sadness,109,7,4,14,"00:14:42,131","00:14:45,550"
1062,Come on! Look where you are!!,Phoebe,joy,109,9,4,14,"00:14:50,681","00:14:53,641"
1083,Yeah!,Joey,joy,111,2,7,1,"0:09:18,810","0:09:20,452"
1089,It’s happened to you?,Chandler,surprise,111,8,7,1,"0:09:56,304","0:09:57,606"
1093,‘Sup? ‘Sup dude?,Joey,neutral,111,12,7,1,"00:08:20,666","00:08:27,255"
1097,"Come on man, really how old?!",Joey,surprise,111,16,7,1,"00:09:01,290","00:09:02,874"
1114,"Okay, but if he asks, I'm not going to lie.",Chandler,neutral,113,10,1,10,"00:08:19,957","00:08:23,001"
1119,It’s better! You can’t go to a museum in your underwear!,Joey,joy,114,3,4,21,"00:21:40,424","00:21:44,135"
1136,"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",Sarah,sadness,116,7,3,10,"00:05:08,516","00:05:17,232"
1146,"I’m sorry you lost your money, but I won it fair and square.",Ross,joy,118,5,6,6,"00:21:22,072","00:21:25,241"
1149,"Yeah, yeah, that's her.",Joey,neutral,119,2,5,17,"0:14:53,475","0:14:55,237"
1169,Okay.,Chandler,neutral,120,9,4,12,"0:13:26,848","0:13:27,325"
1171,Big fat goalie.,Joey,neutral,120,11,4,12,"00:13:39,819","00:13:41,778"
1174,Correct. Her actual favorite movie is...,Ross,neutral,120,14,4,12,"0:13:48,536","0:13:50,048"
1186,"Well, that shouldn’t be a problem. I mean I work in fashion and all I meet are eligible straight men.",Rachel,neutral,122,2,3,18,"00:06:53,287","00:06:57,374"
1192,"Well, if that were true, I’d dating my Aunt Ruth.",Pete,joy,122,8,3,18,"00:07:15,643","00:07:18,228"
1202,Okay?,Ross,anger,123,2,9,17,"0:05:12,342","0:05:12,561"
1204,It's not funny!,Ross,anger,123,4,9,17,"0:05:15,437","0:05:17,903"
1209,You'd better hope not because I just read what you put on your    page today.,Ross,anger,123,8,9,17,"00:05:27,231","00:05:29,484"
1210,I don't have a page.,Chandler,neutral,123,9,9,17,"0:05:29,692","0:05:30,568"
1217,"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",Joey,joy,124,5,5,6,"00:10:40,765","00:10:44,392"
1229,Twice?,Ross,neutral,125,5,4,18,"00:02:51,462","00:02:52,754"
1238,Stop it! I will kill you. I hate the fact that my room is so small.,Rachel,anger,126,5,4,19,"00:01:03,354","00:01:12,738"
1259,Okay.,Phoebe,neutral,128,8,8,14,"00:08:12,000","00:08:14,800"
1287,"All right, I guess this will be fine.",Joey,neutral,130,5,7,5,"00:06:26,386","00:06:27,886"
1303,"Sorry, Pheebs.",Monica,sadness,131,1,3,14,"00:21:21,989","00:21:24,532"
1314,It’s for me.,Mark,neutral,132,9,3,15,"0:16:32,617","0:16:33,343"
1327,Hello.,Ross,neutral,136,0,8,12,"00:06:25,676","00:06:27,219"
1328,I’m sorry I’m a little late.,Ross,neutral,136,1,8,12,"00:06:31,391","00:06:33,058"
1329,Whoa,Joey,surprise,136,2,8,12,"0:06:33,226","0:06:33,852"
1341,That is how God intended it.,Ross,neutral,137,7,5,14,"00:14:03,425","00:14:06,052"
1344,"Wow, that feels so good to get off my chest!",Rachel,joy,138,2,5,12,"0:12:00,511","0:12:02,388"
1355,What?!,Rachel,surprise,138,13,5,12,"00:12:55,733","00:12:57,650"
1359,"I really thought you making a good point. I mean y'know, until you got cut off.",Phoebe,neutral,139,0,5,9,"00:21:37,504","00:21:41,674"
1360,"Yeah, what's up with that girl Monica?",A Female Student,neutral,139,1,5,9,"00:21:42,426","00:21:44,385"
1387,Really?,Tag,surprise,144,4,7,5,"0:15:19,919","0:15:20,471"
1410,Phoebe why don’t you just call her? You obviously want to.,Monica,neutral,146,2,3,14,"00:11:44,328","00:11:48,790"
1432,"Ok, ok, now what is wrong with my",Ross,anger,147,11,1,5,"00:07:56,017","00:07:58,810"
1437,How'd you get to that?,Joey,anger,148,3,1,12,"00:07:41,961","00:07:45,088"
1439,You knew about that?,Joey,surprise,148,5,1,12,"00:07:48,843","00:07:49,926"
1478,I’m asking you to do me a favor.,Ross,neutral,151,15,6,1,"00:13:39,401","00:13:44,072"
1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,152,4,1,1,"00:10:36,427","00:10:40,680"
1510,"All right that's, that's it!! Get off her!",Ross,anger,154,2,3,12,"0:14:14,186","0:14:16,248"
1513,Ross!,Rachel,surprise,154,5,3,12,"00:14:21,026","00:14:22,861"
1561,Did he tell you?,Joanna,surprise,159,4,3,20,"00:09:46,460","00:09:47,961"
1564,"Oh, I know...",Rachel,joy,159,6,3,20,"00:09:51,090","00:09:52,674"
1565,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,159,7,3,20,"00:09:51,090","00:09:55,010"
1569,"Hi, sweetie!",Rachel,joy,160,1,3,14,"0:05:29,714","0:05:30,891"
1572,"Yeah, huh.",Ross,neutral,160,4,3,14,"00:05:34,542","00:05:35,959"
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,160,8,3,14,"00:05:42,133","00:05:48,305"
1583,Well we?re gonna miss you around here.,Rachel,sadness,160,15,3,14,"00:06:10,870","00:06:12,996"
1592,Yeah! Richard!,Monica,anger,163,3,6,25,"0:06:55,373","0:06:57,269"
1607,Maybe?,Ross,neutral,164,7,1,1,"0:21:15,817","0:21:17,031"
1611,"Well, I just thought it’d make me feel good to do something nice for my friend.",Chandler,neutral,165,0,4,7,"00:14:12,852","00:14:16,531"
1636,Wow! This girl is good.,Joey,surprise,167,1,3,14,"00:00:18,268","00:00:19,852"
1641,Look at you. All jealous.,Monica,anger,167,6,3,14,"00:00:36,369","00:00:38,412"
1647,"Oh no, one of those ‘look for the hidden meaning’ songs.",Phoebe,neutral,167,12,3,14,"00:01:14,657","00:01:18,387"
1648,"Yes, hello.",Ross,neutral,168,0,5,24,"0:05:44,177","0:05:45,309"
1666,"No, it’s okay. Some-some kid asked me to pick it up for him, but I don’t",Ross,neutral,169,2,6,15,"00:03:48,853","00:03:53,315"
1681,I’m such a jerk.,Joey,sadness,170,10,3,6,"00:13:12,249","00:13:14,083"
1704,"Well, you promised me a fun road trip!",Phoebe,joy,173,2,6,1,"0:10:41,558","0:10:43,102"
1706,We are switching at the next rest stop and,Phoebe,anger,173,4,6,1,"0:10:47,118","0:10:54,494"
1720,What musician?,Monica,surprise,174,7,9,19,"00:06:19,671","00:06:20,756"
1740,"Wow, Monica, you look just like your grandmother. How old was she there?",Rachel,surprise,176,7,1,8,"00:20:46,036","00:20:49,622"
1745,"So, what’s this about?",Tag,joy,177,0,8,2,"00:15:57,122","00:15:58,790"
1747,No.  This is my red sweater.,Tag,neutral,177,2,8,2,"00:16:06,090","00:16:10,218"
1758,What the?!,Joey,surprise,178,2,7,18,"00:11:05,081","00:11:07,248"
1776,And in the meantime you better let him drive. Does he have a license?,Policeman,neutral,179,15,7,22,"00:13:52,706","00:13:54,666"
1789,Janice,Joey,surprise,180,8,8,24,"00:02:51,075","00:02:52,076"
1806,You had no relationship!!,Monica,anger,182,4,5,10,"00:07:11,764","00:07:13,598"
1815,"All right, I'm just gonna go on the date.",Rachel,neutral,182,13,5,10,"0:07:38,510","0:07:41,102"
1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Phoebe,neutral,183,11,2,4,"00:10:16,824","00:10:21,494"
1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Phoebe,neutral,183,13,2,4,"00:10:25,041","00:10:28,376"
1839,"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",Jane,joy,184,0,9,20,"00:05:46,751","00:05:49,462"
1845,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",Rachel,sadness,184,6,9,20,"00:05:59,138","00:06:03,351"
1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",Rachel,anger,184,21,9,20,"00:06:52,817","00:06:57,446"
1862,"Oh, that's Ross's.",Chandler,neutral,185,1,1,24,"0:08:27,319","0:08:28,553"
1874,Oh.... my God.,Rachel,surprise,185,13,1,24,"00:09:46,377","00:09:49,379"
1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",Phoebe,joy,186,1,5,21,"00:19:59,698","00:20:07,163"
1877,That would be great!,Gary,joy,186,2,5,21,"00:20:09,166","00:20:10,917"
1879,"Wait, just a second.",Gary,neutral,186,4,5,21,"0:20:12,980","0:20:13,729"
1881,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",Rachel,sadness,187,0,3,24,"00:08:18,664","00:08:23,293"
1888,"Oh, that must be it.",Rachel,neutral,187,7,3,24,"00:08:44,190","00:08:45,941"
1890,Thanks! You too.,Bonnie,joy,187,9,3,24,"00:08:48,945","00:08:50,153"
1901,"That's right, he almost could. Which is exactly how I got stuck there.",Joey,neutral,189,3,5,12,"00:09:22,353","00:09:27,315"
1902,Hey!,Phoebe,neutral,189,4,5,12,"0:09:28,985","0:09:29,957"
1912,He hooked up!! Tell us about her!,Joey,joy,189,14,5,12,"00:10:05,563","00:10:11,067"
1913,Ross you left you scarf in… Hey you guys.,Janice,neutral,189,15,5,12,"00:10:11,861","00:10:22,454"
1927,He has the most amazing Porsche under there!,Woman,joy,191,3,6,5,"00:21:29,788","00:21:32,373"
1945,"Okay, well if I was in this for the money, I’d be a millionaire by now, y'know.",Phoebe,neutral,193,6,3,14,"00:14:07,346","00:14:10,849"
1946,You just got to get out of that jingle head sweetie.,Phoebe,neutral,193,7,3,14,"00:14:12,601","00:14:14,978"
1958,Why? ‘Cause otherwise you’d go for it?,Monica,neutral,195,9,3,5,"00:19:06,061","00:19:08,271"
1962,"Ross, it took you ten years to finally admit you liked me.",Rachel,neutral,195,13,3,5,"00:19:17,447","00:19:21,242"
1971,Won't you dance around with me.,Ross,neutral,196,1,3,4,"00:22:04,406","00:22:06,866"
1976,Do I know you?,Joey's Hand Twin,surprise,197,3,5,24,"00:08:35,014","00:08:37,307"
1997,I just got this really weird message from Ross. He said turn on,Joey,neutral,199,8,6,19,"00:21:04,096","00:21:08,432"
2013,Doorknob?,Elizabeth,neutral,201,0,6,19,"00:07:48,718","00:07:50,635"
2044,It’s not kicking right now. Although we would love to see you do  that again.,Rachel,joy,203,2,8,14,"00:06:35,360","00:06:41,800"
2045,"Hey, when-when was it kicking? What happened?",Ross,joy,203,3,8,14,"00:06:42,080","00:06:43,840"
2050,Alright. Let's talk reality for a second.,Joanne,neutral,204,2,1,4,"0:07:40,293","0:07:43,380"
2054,"C'mon, this is us.",Joanne,neutral,204,6,1,4,"00:07:47,967","00:07:52,637"
2055,I'm not! This is what I'm doing now. I've got this job-,Rachel,neutral,204,7,1,4,"00:07:52,805","00:07:56,308"
2062,"We get off around midnight, why don't we pick you up then?",Fireman No. 3,neutral,205,0,1,14,"00:22:03,155","00:22:05,489"
2072,"What? Whoa, whoa whoa whoa, what do you mean,",Ross,surprise,206,3,1,23,"00:08:12,950","00:08:16,703"
2073,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.",Carol,anger,206,4,1,23,"00:08:22,335","00:08:25,212"
2081,"No, you started it.",Ross,anger,206,12,1,23,"0:08:34,973","0:08:35,487"
2094,"Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",Phoebe,neutral,207,4,3,15,"00:14:34,123","00:14:42,088"
2095,You didn’t say Boutros Boutros Gali.,Phoebe,neutral,207,5,3,15,"0:14:45,676","0:14:47,698"
2100,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",Phoebe,joy,207,10,3,15,"00:14:59,940","00:15:09,282"
2102,So you're a chef?,Mischa,neutral,207,12,3,15,"00:15:25,925","00:15:28,343"
2122,That was unbelievable!,Monica,surprise,208,12,5,10,"0:16:11,887","0:16:13,306"
2145,"Well, I’d gotten Judy pregnant. I still don’t know how that happened.",Mr. Geller,joy,211,5,7,2,"00:09:38,077","00:09:43,999"
2153,What happened? You still have the Monica wedding fund don’t you?,Monica,surprise,211,13,7,2,"00:10:15,197","00:10:17,699"
2171,"One, two, three, four!",Ross,neutral,213,1,7,15,"00:21:34,584","00:21:36,794"
2176,David who?,Monica,neutral,214,1,7,11,"00:08:47,610","00:08:49,402"
2179,"Oh, you say someone’s name enough, they turn around.",Phoebe,neutral,214,4,7,11,"00:08:55,868","00:08:58,078"
2186,Yes! Santa's coming!,Ross,joy,215,0,7,10,"00:06:48,324","00:06:51,785"
2187,"Hey, uh, I’m really, really sorry about what happened in the cafeteria today.",Ross,sadness,216,0,6,1,"0:01:12,739","0:01:23,167"
2190,Whatever.,Joey,neutral,217,0,2,16,"00:16:03,879","00:16:04,963"
2203,"Yeah, when we’re in the audience he doesn’t talk to us, but he does wave.",Rachel,neutral,218,12,4,11,"00:12:57,067","00:13:00,069"
2214,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.",Chandler,neutral,219,9,5,8,"00:07:16,519","00:07:21,648"
2227,Ohh.,Rachel,surprise,221,2,4,18,"00:11:50,876","00:11:52,585"
2232,"Honey, you remember my boss Doug right?",Chandler,neutral,222,1,8,11,"0:03:42,138","0:03:44,307"
2237,No leg-chewing for us sir.,Monica,neutral,222,6,8,11,"00:03:56,653","00:04:01,365"
2244,"Okay, I’ll see you tomorrow!",Monica,joy,222,13,8,11,"00:04:26,015","00:04:28,058"
2266,"So uh, what’s your name?",Joey,neutral,224,0,7,22,"00:05:35,335","00:05:41,840"
2294,"Oh, go on! You telling people about me?",Rachel,surprise,226,8,5,7,"00:19:04,726","00:19:07,937"
2307,I think I need a drink.,Monica,neutral,226,20,5,7,"00:20:01,491","00:20:02,617"
2315,Wow! Cool!,Joey,joy,228,5,5,11,"00:17:23,250","00:17:25,334"
2317,No!,Phoebe,anger,228,7,5,11,"0:17:47,044","0:17:48,488"
2318,"Well, this has been fun.",Jill,neutral,229,0,1,7,"00:21:42,801","00:21:44,677"
2325,"Okay, that’s a fire. Oh yeah. Oh yeah.",Ross,neutral,231,0,3,15,"00:10:11,027","00:10:15,405"
2338,Good bye!,Rachel,neutral,231,13,3,15,"0:10:52,993","0:10:54,450"
2340,Oh yeah? When?,Monica,surprise,232,0,1,23,"00:05:13,688","00:05:16,481"
2370,Stop making candy!,Chandler,anger,234,6,7,9,"0:11:42,743","0:11:45,063"
2383,"1, 2, 3, 4, 5, 6, 7, 8",Monica and Ross,neutral,235,7,6,10,"00:21:36,586","00:21:41,090"
2391,"All right, look, you’re not really gonna buy that are you? Don’t you think you’ve embarrassed me enough for one day?",Chandler,anger,236,5,4,23,"00:09:28,109","00:09:31,861"
2407,You don't even know me...,Monica,anger,237,5,3,12,"0:16:40,851","0:16:41,003"
2424,Okay?,Phoebe,neutral,238,4,7,14,"0:08:22,919","0:08:23,421"
2430,...and live forever as a machine!,Janine,joy,239,2,6,7,"00:21:21,780","00:21:24,198"
2431,"That's so Janine, you-you-you know what, do you know we're doing right now?",Ross,joy,239,3,6,7,"00:21:27,286","00:21:32,164"
2432,"You and I, we're interfacing.",Ross,neutral,239,4,6,7,"00:21:33,583","00:21:36,085"
2436,"Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.",David,neutral,240,1,9,23,"00:03:47,185","00:03:53,732"
2450,"I didn't even think about that!  Aaargh,",Phoebe,anger,241,8,9,22,"00:01:42,519","00:01:47,689"
2457,Hello Skidmark.,Julie,neutral,242,1,7,6,"00:14:03,551","00:14:06,010"
2461,That’s why you broke up with me?,Julie,surprise,242,5,7,6,"00:14:23,696","00:14:25,738"
2466,"All I could think of was y’know, ""Is he gonna kiss me? Is he gonna kiss me?""",Phoebe,joy,245,3,7,18,"00:07:03,131","00:07:06,216"
2481,"Oh good, you’re here. Yeah, and I was worried that it was going to be uncomfortable.",Mona,sadness,246,1,8,8,"00:17:21,582","00:17:26,377"
2484,You’re gonna have to tell me how you did that.,Rachel,neutral,246,4,8,8,"00:17:35,763","00:17:37,555"
2487,All right where’s that turkey!,Joey,neutral,247,0,8,9,"00:20:39,780","00:20:42,531"
2510,And this is what we do!,Joey,neutral,249,11,8,9,"0:02:42,371","0:02:45,895"
2516,Oh! You have a window!,Phoebe,surprise,250,2,1,15,"00:15:11,285","00:15:13,661"
2526,All right.,Ross,neutral,251,4,3,21,"0:11:56,885","0:11:57,695"
2531,"Let me ask you some questions about, is it, uh, Marcel?",Dr. Baldhara,neutral,252,2,1,21,"00:14:18,691","00:14:21,317"
2569,Phoebe come here,Monica,neutral,254,7,9,17,"00:10:07,303","00:10:08,512"
