Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,video_clip_path,Utterance_stemmed,Utterance_tokenized,emotion_neutral,emotion_anger,emotion_joy,emotion_sadness,emotion_surprise
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,15,7,9,23,"00:42:46,313","00:42:50,108",train_data/dia15_utt7.mp4,anyway i uh i think 's best,"['anyway', 'i', 'uh', 'i', 'think', ""'s"", 'best']",0.27354974,0.039407216,0.05836935,0.5007237,0.1277672
186,Pizza delivery!,Caitlin,joy,17,7,5,19,"0:06:47,281","0:06:49,793",train_data/dia17_utt7.mp4,pizza deliveri,"['pizza', 'deliveri']",0.48656577,0.0916913,0.2978978,0.042993907,0.08068891
191,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603",train_data/dia18_utt1.mp4,uhh ball thing,"['uhh', 'ball', 'thing']",0.7099829,0.07008771,0.16494775,0.031303048,0.023639845
193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Joey,joy,18,3,5,21,"00:05:14,022","00:05:19,109",train_data/dia18_utt3.mp4,hey ross would n't great could go two straight hour without drop,"['hey', 'ross', 'would', ""n't"", 'great', 'could', 'go', 'two', 'straight', 'hour', 'without', 'drop']",0.35720748,0.10834341,0.44208422,0.037536845,0.05471161
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,24,1,3,14,"00:10:44,727","00:10:49,397",train_data/dia24_utt1.mp4,look honey mark fashion okay i like friend i share stuff,"['look', 'honey', 'mark', 'fashion', 'okay', 'i', 'like', 'friend', 'i', 'share', 'stuff']",0.9012653,0.036861528,0.02756228,0.022487836,0.011806285
260,: Yeah.,Mr. Treeger,neutral,25,4,4,4,"00:20:54,962","00:20:56,462",train_data/dia25_utt4.mp4,yeah,['yeah'],0.7269702,0.04466455,0.12729459,0.039358396,0.0616613
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508",train_data/dia26_utt3.mp4,who know,"['who', 'know']",0.7703502,0.080699325,0.07893611,0.0536551,0.016336752
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,27,0,5,24,"00:20:18,592","00:20:24,805",train_data/dia27_utt0.mp4,okay come i ca n't get marri i get someth old someth new someth borrow someth blue,"['okay', 'come', 'i', 'ca', ""n't"", 'get', 'marri', 'i', 'get', 'someth', 'old', 'someth', 'new', 'someth', 'borrow', 'someth', 'blue']",0.46379992,0.089860216,0.14444844,0.26384038,0.03790883
287,Are you kidding?,Ross,anger,28,1,4,15,"0:19:19,201","0:19:19,673",train_data/dia28_utt1.mp4,are kid,"['are', 'kid']",0.2142589,0.55158854,0.21005441,0.0035168668,0.020491036
334,Yeah-yeah you guys. Get out of here!,Ross,neutral,33,6,6,24,"00:04:19,676","00:04:22,302",train_data/dia33_utt6.mp4,yeah-yeah guy get,"['yeah-yeah', 'guy', 'get']",0.76157075,0.05777908,0.11480513,0.030969445,0.03484345
337,"Oh, thank you!   Whats going on?",Monica,joy,33,9,6,24,"00:04:37,402","00:04:44,616",train_data/dia33_utt9.mp4,oh thank what go,"['oh', 'thank', 'what\x92', 'go']",0.27971023,0.08721486,0.5423174,0.027609143,0.06303496
339,You have to tell her!,Ross,joy,32,10,1,12,"0:11:35,824","0:11:36,658",train_data/dia32_utt10.mp4,you tell,"['you', 'tell']",0.48129076,0.020234307,0.43791398,0.042800844,0.01773557
344,"Oh, yeah, you have to tell her.",Chandler,neutral,32,15,1,12,"00:11:43,244","00:11:45,120",train_data/dia32_utt15.mp4,oh yeah tell,"['oh', 'yeah', 'tell']",0.6570177,0.09186828,0.16994017,0.034381516,0.046742786
357,Thank you Ross.,Phoebe,joy,35,4,7,9,"0:21:30,342","0:21:31,300",train_data/dia35_utt4.mp4,thank ross,"['thank', 'ross']",0.18800189,0.03094145,0.73174727,0.03267995,0.016501032
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,joy,37,2,7,19,"00:15:49,073","00:15:53,910",train_data/dia37_utt2.mp4,yeah okay one mushroom cap umm one made bologna,"['yeah', 'okay', 'one', 'mushroom', 'cap', 'umm', 'one', 'made', 'bologna']",0.12808806,0.015820013,0.7951261,0.027157154,0.03373175
425,It does in mine!,Joey,anger,39,18,3,19,"0:12:02,529","0:12:02,973",train_data/dia39_utt18.mp4,it mine,"['it', 'mine']",0.3584092,0.42183167,0.17924184,0.02823929,0.012191389
444,Sure. So how long you been...,Joey,neutral,41,3,1,13,"00:05:14,147","00:05:18,358",train_data/dia41_utt3.mp4,sure so long ...,"['sure', 'so', 'long', '...']",0.7943325,0.03546702,0.06443899,0.0483027,0.057436958
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,Mr. Tribbiani,neutral,41,7,1,13,"00:05:29,203","00:05:34,333",train_data/dia41_utt7.mp4,i want put nice memori head 'd know i n't alway terribl guy,"['i', 'want', 'put', 'nice', 'memori', 'head', ""'d"", 'know', 'i', ""n't"", 'alway', 'terribl', 'guy']",0.7511679,0.051727846,0.1132628,0.035433296,0.04837089
451,...I d'know.,Joey,neutral,41,10,1,13,"00:05:41,049","00:05:42,090",train_data/dia41_utt10.mp4,... i d'know,"['...', 'i', ""d'know""]",0.70672196,0.00703491,0.22146824,0.04724693,0.01750983
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,41,11,1,13,"0:05:44,844","0:05:47,514",train_data/dia41_utt11.mp4,then y'have n't you 're burn tomato,"['then', ""y'have"", ""n't"", 'you', ""'re"", 'burn', 'tomato']",0.76775664,0.0642652,0.10510663,0.027025614,0.035810493
460,"Oh, great. Although I did sit down where there wasnt a chair.",Rachel,neutral,43,1,3,19,"00:21:35,752","00:21:40,381",train_data/dia43_utt1.mp4,oh great although i sit wasnt chair,"['oh', 'great', 'although', 'i', 'sit', 'wasn\x92t', 'chair']",0.73325026,0.08152268,0.10939532,0.04042472,0.03535239
462,"Oh, well, I guess I had that one coming.",Rachel,neutral,43,3,3,19,"00:21:43,927","00:21:47,221",train_data/dia43_utt3.mp4,oh well i guess i one come,"['oh', 'well', 'i', 'guess', 'i', 'one', 'come']",0.77174497,0.09081852,0.08843951,0.021339746,0.027623765
477,"What? Ace is high! Jack, queen, king, ace!",Joey,surprise,46,1,4,19,"00:12:43,095","00:12:46,264",train_data/dia46_utt1.mp4,what ace high jack queen king ace,"['what', 'ace', 'high', 'jack', 'queen', 'king', 'ace']",0.22682832,0.06278027,0.12729026,0.034693033,0.5482729
480,"All right, cut, lets pick again, pick again.",Rachel,neutral,46,4,4,19,"0:13:06,577","0:13:08,259",train_data/dia46_utt4.mp4,all right cut let pick pick,"['all', 'right', 'cut', 'let\x92', 'pick', 'pick']",0.6805686,0.06682597,0.18207625,0.059111357,0.011363074
498,"No, no wait, for get them, we got one, hard left.",Joey,joy,47,7,2,6,"00:06:28,346","00:06:31,765",train_data/dia47_utt7.mp4,no wait get got one hard left,"['no', 'wait', 'get', 'got', 'one', 'hard', 'left']",0.4079622,0.044606443,0.4594874,0.059473712,0.02835465
505,You wanna smell him?,Joey,neutral,47,14,2,6,"00:06:49,700","00:06:50,784",train_data/dia47_utt14.mp4,you wan na smell,"['you', 'wan', 'na', 'smell']",0.70036083,0.052939817,0.18211995,0.02241071,0.042136468
507,What'd I tell you? What'd I tell you?,Joey,joy,47,16,2,6,"00:07:04,298","00:07:05,674",train_data/dia47_utt16.mp4,what 'd i tell what 'd i tell,"['what', ""'d"", 'i', 'tell', 'what', ""'d"", 'i', 'tell']",0.32833713,0.06357323,0.50627935,0.04152015,0.060177177
512,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,49,2,6,18,"00:13:02,364","00:13:06,951",train_data/dia49_utt2.mp4,especi professor ran last night judgey von holierthanth,"['especi', 'professor', 'ran', 'last', 'night', 'judgey', 'von', 'holierthanth']",0.33631557,0.44852757,0.18030854,0.023868365,0.0108669745
516,I mean whats more important?,Joey,neutral,49,6,6,18,"0:13:21,550","0:13:22,677",train_data/dia49_utt6.mp4,i mean what import,"['i', 'mean', 'what\x92', 'import']",0.7187095,0.1939956,0.06321174,0.010854115,0.013199872
521,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,49,11,6,18,"00:13:36,482","00:13:40,235",train_data/dia49_utt11.mp4,hey-hey-hey so go dana ani reason i leav block time open say thursday,"['hey-hey-hey', 'so', 'go', 'dana', 'ani', 'reason', 'i', 'leav', 'block', 'time', 'open', 'say', 'thursday']",0.76321936,0.10348554,0.09623678,0.021185081,0.015850117
529,"No, that was Dana Caplin.",Chandler,neutral,49,19,6,18,"00:13:56,919","00:13:58,461",train_data/dia49_utt19.mp4,no dana caplin,"['no', 'dana', 'caplin']",0.63524705,0.09760183,0.17355385,0.075773455,0.017755223
531,Ah whatever!,Joey,anger,49,21,6,18,"0:14:03,061","0:14:04,360",train_data/dia49_utt21.mp4,ah whatev,"['ah', 'whatev']",0.31537637,0.31473678,0.26734385,0.0721151,0.030123552
542,Ah-ah!!,Joey,surprise,50,9,6,21,"0:14:31,956","0:14:33,140",train_data/dia50_utt9.mp4,ah-ah,['ah-ah'],0.28276354,0.03857708,0.096511744,0.011244017,0.57082164
548,God!,Joey,anger,50,15,6,21,"0:14:42,215","0:14:42,929",train_data/dia50_utt15.mp4,god,['god'],0.28719535,0.35817552,0.27587077,0.048907027,0.029741662
550,Hey.,Ross,neutral,51,0,3,15,"00:11:10,086","00:11:12,629",train_data/dia51_utt0.mp4,hey,['hey'],0.85053,0.037317067,0.075676195,0.017419271,0.019035324
557,"But I told you, I didnt have the time!",Rachel,anger,51,7,3,15,"00:11:47,206","00:11:49,958",train_data/dia51_utt7.mp4,but i told i didnt time,"['but', 'i', 'told', 'i', 'didn\x92t', 'time']",0.4959806,0.30883175,0.07272847,0.0851695,0.037155934
569,Does it have to do with Joey?,Monica,neutral,52,8,3,21,"0:13:20,424","0:13:21,676",train_data/dia52_utt8.mp4,doe joey,"['doe', 'joey']",0.8251273,0.085468635,0.050412543,0.02860337,0.01035646
577,Like I have nothing better to do!,Monica,neutral,53,4,6,24,"00:20:53,627","00:20:56,045",train_data/dia53_utt4.mp4,like i noth better,"['like', 'i', 'noth', 'better']",0.8087025,0.07767123,0.076978214,0.011792033,0.02482553
607,So did I. I'm really glad Monica asked us out.,Rachel,joy,55,1,5,10,"00:10:53,611","00:10:56,738",train_data/dia55_utt1.mp4,so i. i 'm realli glad monica ask us,"['so', 'i.', 'i', ""'m"", 'realli', 'glad', 'monica', 'ask', 'us']",0.36554354,0.108840056,0.4793469,0.021822367,0.024392353
621,You are so dead! I'm gonna get you.,Danny,joy,55,15,5,10,"00:11:38,406","00:11:39,989",train_data/dia55_utt15.mp4,you dead i 'm gon na get,"['you', 'dead', 'i', ""'m"", 'gon', 'na', 'get']",0.09100262,0.043756872,0.835993,0.014295947,0.01487323
624,"Hi Mom, it's Jill.",Jill,neutral,56,1,1,7,"00:02:23,309","00:02:24,643",train_data/dia56_utt1.mp4,hi mom 's jill,"['hi', 'mom', ""'s"", 'jill']",0.6305326,0.115133554,0.106424324,0.055298407,0.092507444
646,Tomorrow at 8:30.,Doug,neutral,59,2,3,24,"0:21:05,361","0:21:06,819",train_data/dia59_utt2.mp4,tomorrow 8:30,"['tomorrow', '8:30']",0.95278496,0.02398643,0.012992267,0.0041852426,0.0060482197
663,"Ye-ye-yeah, yes I do!",Chandler,sadness,61,7,3,24,"00:21:48,223","00:21:49,557",train_data/dia61_utt7.mp4,ye-ye-yeah ye i,"['ye-ye-yeah', 'ye', 'i']",0.4442759,0.092112824,0.14728042,0.27268106,0.04347935
682,You cant wear that! Im wearing the famous tux! James Bonds tux!,Chandler,anger,63,5,7,20,"00:10:18,367","00:10:22,495",train_data/dia63_utt5.mp4,you cant wear im wear famou tux jame bond tux,"['you', 'can\x92t', 'wear', 'i\x92m', 'wear', 'famou', 'tux', 'jame', 'bond\x92', 'tux']",0.21665204,0.5525816,0.1602664,0.031634495,0.038745742
710,What?!?!,Monica,surprise,66,5,3,6,"00:14:41,964","00:14:42,964",train_data/dia66_utt5.mp4,what,['what'],0.19269846,0.05568242,0.082879655,0.0013977009,0.66725063
723,"Ross-Ross, you have no idea what this means to me!",Rachel,joy,67,5,6,3,"00:08:30,259","00:08:32,594",train_data/dia67_utt5.mp4,ross-ross idea mean,"['ross-ross', 'idea', 'mean']",0.50221646,0.07133167,0.38791183,0.018561656,0.019919833
748,That's great.,Chandler,joy,69,0,1,5,"00:10:00,223","00:10:04,270",train_data/dia69_utt0.mp4,that 's great,"['that', ""'s"", 'great']",0.5305421,0.09124639,0.2834885,0.047735535,0.04691861
755,"Wow! Thats ah, thats pretty nice!",Tony,joy,70,0,4,2,"00:10:11,611","00:10:14,404",train_data/dia70_utt0.mp4,wow that ah that pretti nice,"['wow', 'that\x92', 'ah', 'that\x92', 'pretti', 'nice']",0.30474362,0.07333973,0.547354,0.039571725,0.03489753
756,Pretty nice?,Joey,neutral,70,1,4,2,"00:10:14,472","00:10:16,489",train_data/dia70_utt1.mp4,pretti nice,"['pretti', 'nice']",0.85252607,0.014222919,0.08996753,0.029875683,0.013386042
759,"Y'know, I, I really dont think we need a canoe.",Chandler,neutral,70,4,4,2,"00:10:24,332","00:10:35,717",train_data/dia70_utt4.mp4,y'know i i realli dont think need cano,"[""y'know"", 'i', 'i', 'realli', 'don\x92t', 'think', 'need', 'cano']",0.8274544,0.055074155,0.08772963,0.01523382,0.014488512
760,You gotta take the canoe!,Tony,anger,70,5,4,2,"00:10:35,885","00:10:37,260",train_data/dia70_utt5.mp4,you got ta take cano,"['you', 'got', 'ta', 'take', 'cano']",0.17768851,0.6381273,0.14185646,0.014556703,0.027631152
770,What would you give to a kid if he wanted a ticket to play with?,Chandler,neutral,72,4,4,15,"00:14:47,845","00:14:50,847",train_data/dia72_utt4.mp4,what would give kid want ticket play,"['what', 'would', 'give', 'kid', 'want', 'ticket', 'play']",0.82463,0.067273125,0.062288303,0.04339233,0.002374359
773,"All right, yknow what, shes  gonna think that Im handing you a credit card, but what Im really gonna do is hand you a library card.",Chandler,neutral,72,7,4,15,"00:14:57,688","00:15:04,736",train_data/dia72_utt7.mp4,all right yknow she gon na think im hand credit card im realli gon na hand librari card,"['all', 'right', 'y\x92know', 'she\x92', 'gon', 'na', 'think', 'i\x92m', 'hand', 'credit', 'card', 'i\x92m', 'realli', 'gon', 'na', 'hand', 'librari', 'card']",0.8295983,0.07092621,0.055761896,0.03827285,0.0053974004
793,Jason is not a sissy!,Phoebe,anger,74,5,3,23,"00:07:22,275","00:07:24,317",train_data/dia74_utt5.mp4,jason sissi,"['jason', 'sissi']",0.29441136,0.47519937,0.10890381,0.08952817,0.031852603
795,Hi.,Ross,neutral,75,0,1,1,"00:19:28,917","00:19:30,251",train_data/dia75_utt0.mp4,hi,['hi'],0.73777175,0.03773211,0.13978553,0.0513488,0.033337604
809,"Ah-ha, nowhere to run!",Ross,joy,78,0,6,17,"00:21:08,850","00:21:11,811",train_data/dia78_utt0.mp4,ah-ha nowher run,"['ah-ha', 'nowher', 'run']",0.46134418,0.025769543,0.46149424,0.026914444,0.024424069
810,I dont like sitting up here! Im just gonna over,Rachel,anger,78,1,6,17,"00:21:13,605","00:21:16,315",train_data/dia78_utt1.mp4,i dont like sit im gon na,"['i', 'don\x92t', 'like', 'sit', 'i\x92m', 'gon', 'na']",0.2988608,0.45927832,0.15069692,0.062215835,0.028731273
831,He's planning your birthday party.,Joey,neutral,81,2,1,7,"0:11:40,950","0:11:41,092",train_data/dia81_utt2.mp4,he 's plan birthday parti,"['he', ""'s"", 'plan', 'birthday', 'parti']",0.41551661,0.014614645,0.4657832,0.019921668,0.084133394
832,Oh my God! I love him!,Monica,joy,81,3,1,7,"00:11:42,743","00:11:44,577",train_data/dia81_utt3.mp4,oh god i love,"['oh', 'god', 'i', 'love']",0.20086811,0.051384512,0.66526645,0.0037463026,0.0786915
845,Looks like I was second to last.,Phoebe,surprise,81,16,1,7,"00:12:16,068","00:12:18,820",train_data/dia81_utt16.mp4,look like i second last,"['look', 'like', 'i', 'second', 'last']",0.36104342,0.046330936,0.055669572,0.02639964,0.5104801
848,Chandler! Hes your father.  he should be at the wedding.,Monica,anger,82,2,7,22,"00:03:17,155","00:03:20,032",train_data/dia82_utt2.mp4,chandler he father wed,"['chandler', 'he\x92', 'father', 'wed']",0.19052991,0.7452178,0.053590402,0.005817098,0.0048012524
854,"Ooh, I think I wanna trade circles.",Phoebe,neutral,82,7,7,22,"00:03:35,965","00:03:38,342",train_data/dia82_utt7.mp4,ooh i think i wan na trade circl,"['ooh', 'i', 'think', 'i', 'wan', 'na', 'trade', 'circl']",0.8586057,0.078237794,0.03873317,0.018577572,0.0057900725
861,How ya doin?,Joey,neutral,83,1,4,14,"00:15:50,199","00:15:51,616",train_data/dia83_utt1.mp4,how ya doin,"['how', 'ya', 'doin\x92']",0.8273527,0.015924955,0.09878373,0.0128127225,0.04511172
867,Not after this!,Phoebe,anger,84,3,4,20,"00:21:06,056","00:21:08,224",train_data/dia84_utt3.mp4,not,['not'],0.217057,0.5038105,0.18283719,0.04176893,0.054381896
869,I gotta go.,Joshua,neutral,84,5,4,20,"00:21:22,823","00:21:25,616",train_data/dia84_utt5.mp4,i got ta go,"['i', 'got', 'ta', 'go']",0.49119955,0.09599442,0.32362646,0.051664222,0.037457895
875,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anywayumm, what is this book about?",Rachel,neutral,85,4,5,9,"00:06:18,503","00:06:25,550",train_data/dia85_utt4.mp4,well yeah i rememb i start pep ralli i i top pyramid anywayumm book,"['well', 'yeah', 'i', 'rememb', 'i', 'start', 'pep', 'ralli', 'i', 'i', 'top', 'pyramid', 'anyway\x97umm', 'book']",0.82984644,0.026085496,0.115650445,0.022814428,0.005569234
909,Theres nothing to handle.,Rachel,joy,89,7,4,20,"0:09:47,097","0:09:48,219",train_data/dia89_utt7.mp4,there noth handl,"['there\x92', 'noth', 'handl']",0.46132442,0.18594968,0.25563988,0.06945575,0.027519783
917,"And somewhere along the way, one of them is gonna realise what theyve done and theyre call the whole thing off.",Rachel,neutral,89,15,4,20,"00:10:03,811","00:10:08,148",train_data/dia89_utt15.mp4,and somewher along way one gon na realis theyv done theyr call whole thing,"['and', 'somewher', 'along', 'way', 'one', 'gon', 'na', 'realis', 'they\x92v', 'done', 'they\x92r', 'call', 'whole', 'thing']",0.78307855,0.047867417,0.08015676,0.055476997,0.03338885
920,"What, did you actually thought it would make me feel better to give me stuff that I cant use for another two months?!",Phoebe,anger,91,0,4,20,"00:06:56,249","00:07:02,087",train_data/dia91_utt0.mp4,what actual thought would make feel better give stuff i cant use anoth two month,"['what', 'actual', 'thought', 'would', 'make', 'feel', 'better', 'give', 'stuff', 'i', 'can\x92t', 'use', 'anoth', 'two', 'month']",0.37738776,0.40119147,0.11065606,0.07650976,0.034115385
929,Oh no! No!! My hole!!,Joey,surprise,93,5,4,1,"00:09:26,440","00:09:28,525",train_data/dia93_utt5.mp4,oh no my hole,"['oh', 'no', 'my', 'hole']",0.4198203,0.1645555,0.20456009,0.18209107,0.028866312
942,Say more things like that.,Rachel,joy,94,10,4,9,"00:12:10,229","00:12:12,731",train_data/dia94_utt10.mp4,say thing like,"['say', 'thing', 'like']",0.32202142,0.0042016846,0.6439431,0.023042401,0.006749058
946,And an assistant.,Rachel,neutral,94,14,4,9,"0:12:20,448","0:12:21,491",train_data/dia94_utt14.mp4,and assist,"['and', 'assist']",0.7053449,0.024394318,0.21881436,0.035971787,0.015425596
955,What are you talking about?!,Rachel,surprise,95,7,5,3,"00:04:23,638","00:04:25,097",train_data/dia95_utt7.mp4,what talk,"['what', 'talk']",0.24068794,0.029860156,0.0830068,0.03128606,0.6150397
961,Harder than it sounds. Isn't it?,Monica,neutral,95,13,5,3,"0:04:44,579","0:04:45,331",train_data/dia95_utt13.mp4,harder sound is n't,"['harder', 'sound', 'is', ""n't""]",0.79007757,0.0036176024,0.17121299,0.01643453,0.018625852
970,Thank you.,Monica,neutral,96,4,1,17,"0:14:09,942","0:14:10,778",train_data/dia96_utt4.mp4,thank,['thank'],0.86149037,0.00078439026,0.10867322,0.012789461,0.016255781
971,Okay. Lets bring it in.,Monica,neutral,97,0,3,9,"00:04:23,888","00:04:25,514",train_data/dia97_utt0.mp4,okay let bring,"['okay', 'let\x92', 'bring']",0.6323351,0.13829671,0.1240761,0.05546579,0.04977133
983,"Technically we could have sex again. What do you think, bossy and domineering?!",Chandler,neutral,99,6,7,19,"00:05:38,379","00:05:46,136",train_data/dia99_utt6.mp4,technic could sex what think bossi domin,"['technic', 'could', 'sex', 'what', 'think', 'bossi', 'domin']",0.68395305,0.04998752,0.23850626,0.020541944,0.0069716987
985,Thats me! Come on!,Chandler,joy,99,8,7,19,"00:05:49,140","00:05:50,474",train_data/dia99_utt8.mp4,that come,"['that\x92', 'come']",0.3330006,0.083464585,0.52031106,0.023254735,0.03989908
996,"Th-th-that's all it is, a third nipple.",Ross,neutral,100,0,3,23,"00:05:30,246","00:05:32,122",train_data/dia100_utt0.mp4,th-th-that 's third nippl,"['th-th-that', ""'s"", 'third', 'nippl']",0.6314477,0.12064858,0.15132655,0.056246016,0.040257
1003,Just showing you my run-of-the-mill-slice-it-right-off third nipple.,Ross,neutral,100,5,3,23,"00:05:48,181","00:05:52,726",train_data/dia100_utt5.mp4,just show run-of-the-mill-slice-it-right-off third nippl,"['just', 'show', 'run-of-the-mill-slice-it-right-off', 'third', 'nippl']",0.5013627,0.169264,0.17765208,0.13657959,0.014950702
1008,"Wait a minute, hold it.  Johnson! Will you come in here a moment?",Dr. Rhodes,neutral,102,0,3,23,"00:06:01,152","00:06:08,116",train_data/dia102_utt0.mp4,wait minut hold johnson will come moment,"['wait', 'minut', 'hold', 'johnson', 'will', 'come', 'moment']",0.6253392,0.08583325,0.20561223,0.060746696,0.022401964
1010,"He's good with rear things, bring him in too.",Dr. Rhodes,neutral,102,2,3,23,"00:06:08,284","00:06:10,619",train_data/dia102_utt2.mp4,he 's good rear thing bring,"['he', ""'s"", 'good', 'rear', 'thing', 'bring']",0.79276806,0.058629695,0.033166904,0.047098625,0.068298124
1024,"Um uhWere-were just having this baby together but uh, uh thats all.",Ross,neutral,106,0,8,23,"00:21:18,432","00:21:22,894",train_data/dia106_utt0.mp4,um uh were-wer babi togeth uh uh that,"['um', 'uh', 'we\x92re-we\x92r', 'babi', 'togeth', 'uh', 'uh', 'that\x92']",0.9459014,0.011823285,0.02267423,0.011187578,0.00840821
1038,Dear Ms. Buffay.,Phoebe,neutral,107,7,1,3,"0:08:10,072","0:08:11,414",train_data/dia107_utt7.mp4,dear ms. buffay,"['dear', 'ms.', 'buffay']",0.6004795,0.1364394,0.17080794,0.037136313,0.055062406
